dataset,model,protected,max_depth,repeats,n_idi,n_test,cov2,cov3,cov4,cov5,n_regions,partition_cpu,generation_cpu,real_time,cpu_time
Adult,MLP,age,8,5,2265529.4,5000000.0,3073.6,177309.6,1261668.4,2090092.6,254.4,58.21,326.168,384.394,384.378
Adult,MLP,age,10,5,2528523.8,5000000.0,3075.6,180023.8,1349758.2,2314729.8,1014.6,197.912,330.228,528.16,528.14
Adult,MLP,age,12,5,2771524.8,5000000.0,3086.4,182423.4,1426844.0,2519804.2,4039.2,716.304,315.414,1031.734,1031.72
Credit,GBDT,sex,2,5,398971.8,5000000.0,143497.6,395862.0,398864.0,398943.4,4.0,1.208,94.91,96.118,96.118
Credit,GBDT,sex,4,5,467872.0,5000000.0,146178.6,463374.0,467689.6,467822.6,15.0,3.496,92.322,95.82,95.818
Credit,GBDT,sex,6,5,503997.0,5000000.0,148846.8,498840.8,503789.4,503937.8,55.0,9.182,92.966,102.152,102.152
Credit,GBDT,sex,8,5,537656.4,5000000.0,150618.0,531752.2,537422.4,537589.0,209.6,25.598,92.296,117.896,117.894
Credit,GBDT,sex,10,5,584083.0,5000000.0,153837.6,577149.0,583802.6,583996.8,817.2,74.726,93.028,167.762,167.756
Credit,GBDT,sex,12,5,652832.0,5000000.0,160118.2,644100.6,652471.6,652735.4,3209.4,273.888,97.186,371.08,371.074
Lsac,LogReg,race,2,5,359467.6,5000000.0,944.6,14722.4,85284.6,230464.0,4.0,1.828,83.78,85.606,85.606
Lsac,LogReg,race,4,5,431300.4,5000000.0,944.0,14766.2,89557.2,257365.4,16.0,5.212,80.552,85.768,85.766
Lsac,LogReg,race,6,5,530648.6,5000000.0,945.2,14840.8,93656.6,285871.0,63.6,15.168,81.606,96.776,96.776
Lsac,LogReg,race,8,5,667901.8,5000000.0,948.0,14988.4,96869.4,317333.2,248.2,39.396,81.436,120.834,120.832
Lsac,LogReg,race,10,5,818298.8,5000000.0,950.4,15159.8,99434.6,344541.0,961.6,118.008,84.09,202.106,202.102
Lsac,LogReg,race,12,5,996681.4,5000000.0,949.4,15290.4,101549.6,368285.0,3673.8,404.048,89.368,493.422,493.416
Adult,MLP,sex,2,5,129140.2,5000000.0,2711.4,76324.2,123422.4,128460.4,4.0,0.904,90.176,91.082,91.08
Adult,MLP,sex,4,5,136588.0,5000000.0,2801.8,80085.2,130325.2,135848.6,16.0,3.296,92.22,95.514,95.51
Adult,MLP,sex,6,5,153881.6,5000000.0,2855.2,84182.8,145187.8,152821.6,62.6,9.39,92.346,101.74,101.736
Adult,MLP,sex,8,5,173837.0,5000000.0,2866.8,89861.0,162672.4,172431.2,245.0,27.222,93.794,121.02,121.014
Adult,MLP,sex,10,5,201009.8,5000000.0,2867.4,95467.4,185736.2,199015.4,961.8,97.848,96.834,194.686,194.68
Adult,MLP,sex,12,5,224440.6,5000000.0,2874.6,99697.2,204891.0,221846.4,3789.6,340.922,96.72,437.646,437.636
Adult,MLP,race,2,5,249769.4,5000000.0,3035.0,111257.2,228545.8,246581.2,4.0,1.296,178.884,180.186,180.184
Adult,MLP,race,4,5,308816.8,5000000.0,3035.2,117819.8,272813.8,303165.6,16.0,3.576,178.364,181.946,181.94
