dataset,model,protected,source,repeats,n_idi,n_test,cov2,cov3,cov4,cov5,n_regions,partition_cpu,generation_cpu,real_time,cpu_time
Bank,MLP,age,random,5,867587.6,5000000.0,22800.0,452109.2,772525.6,837864.2,1024.0,66.126,258.546,324.682,324.674
Bank,LogReg,age,gini,5,518442.8,5000000.0,11490.0,240278.0,456016.6,494076.4,809.4,134.008,220.07,354.082,354.078
Bank,LogReg,age,random,5,128706.0,5000000.0,9866.8,97637.6,123070.2,126812.8,1024.0,53.654,194.374,248.03,248.03
Bank,DecTree,age,gini,5,3530480.0,5000000.0,32569.8,968091.2,2814023.8,3246895.2,616.2,115.298,237.092,352.4,352.39
Bank,DecTree,age,random,5,1460819.4,5000000.0,32456.0,662089.6,1317048.2,1410947.8,1024.0,55.144,210.716,265.87,265.864
Lsac,GBDT,sex,gini,5,330121.8,5000000.0,954.6,19992.4,75216.0,163415.4,950.0,117.314,87.394,204.712,204.704
Lsac,GBDT,sex,random,5,95240.4,5000000.0,949.8,19329.2,52839.4,79303.2,1024.0,24.908,81.798,106.712,106.71
Lsac,GBDT,race,gini,5,1606532.6,5000000.0,1010.2,21755.4,124839.2,398835.2,975.4,136.334,112.08,248.426,248.414
Lsac,GBDT,race,random,5,670392.0,5000000.0,1008.6,22253.2,115122.4,321872.8,1024.0,27.644,95.82,123.468,123.466
Lsac,MLP,sex,gini,5,162807.2,5000000.0,1017.2,23543.8,97567.4,143316.4,977.8,112.396,74.648,187.05,187.044
Lsac,MLP,sex,random,5,123091.2,5000000.0,1011.0,23449.2,79074.0,111446.0,1024.0,22.666,71.424,94.092,94.092
Lsac,MLP,race,gini,5,470209.6,5000000.0,1021.4,18059.6,121472.4,295790.6,1000.6,123.978,93.43,217.412,217.408
Lsac,MLP,race,random,5,306966.2,5000000.0,1019.0,18309.8,104356.8,221767.4,1024.0,27.66,89.574,117.236,117.234
Lsac,LogReg,sex,gini,5,184848.8,5000000.0,916.2,20000.8,93982.6,155461.2,933.0,105.428,66.974,172.404,172.398
Lsac,LogReg,sex,random,5,112273.4,5000000.0,880.8,19078.4,68457.8,100872.8,1024.0,22.162,66.656,88.82,88.818
Lsac,DecTree,sex,gini,5,4102049.4,5000000.0,948.2,18869.4,125449.6,508860.8,579.8,78.346,83.386,161.744,161.736
Lsac,DecTree,sex,random,5,727902.6,5000000.0,914.4,16834.6,85648.0,273892.4,1024.0,22.378,72.292,94.672,94.67
Lsac,DecTree,race,gini,5,3974571.0,5000000.0,959.8,12289.0,86124.2,346301.8,407.4,58.172,105.838,164.022,164.01
Lsac,DecTree,race,random,5,685872.8,5000000.0,931.4,12263.2,64199.2,213447.2,1024.0,26.124,86.178,112.304,112.3
