dataset,model,protected,method,repeats,n_idi,n_test,prec,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions,n_idi_std,cov2_std,cov3_std,cov4_std,cov5_std,div5000_std
Lsac,LogReg,race,sg,5,4838.4,13814.8,0.350233,1.0,62.2,243.6,633.0,772.0,7.2735,7.2437,7.2524,7.233,7.2396,7.2316,7.236,7.2348,1200.05,1200.05,,,,,,405.4427,14.7377,17.0968,224.9322,230.7044,0.508
Lsac,LogReg,race,regionft,5,9782585.4,62784901.8,0.155811,1.0,970.4,16450.6,116931.0,513462.6,9.5349,9.5385,9.5417,9.5408,9.5406,9.5406,9.5405,9.5406,1200.02,1200.0,108.89,108.88,1091.13,1091.12,942.2,509784.5995,0.8944,48.8344,425.1123,3397.1633,0.0007
Lsac,DecTree,sex,aft,5,589396.6,1118297.6,0.527048,1.0,774.6,13172.8,61766.6,168355.0,8.7858,8.7825,8.7811,8.7798,8.7765,8.7753,8.7742,8.777,1201.14,1201.08,,,,,,270601.5587,55.0345,1469.0026,7673.7886,27947.9973,0.1952
Lsac,DecTree,sex,expga,5,2145597.0,2973884.0,0.72148,1.0,254.0,6374.0,38295.2,148671.4,8.2979,8.3016,8.3043,8.3038,8.304,8.3044,8.3043,8.3041,1200.04,1200.01,,,,,,15966.4788,18.6815,265.6247,3445.1482,18587.2208,0.0113
Lsac,DecTree,sex,grft,5,16496566.6,53366852.4,0.309116,1.0,670.8,5182.4,18882.4,47963.0,9.1217,9.119,9.0968,9.0983,9.0981,9.0996,9.0997,9.0989,1239.47,1239.19,,,,,,1290677.2477,29.1753,386.8996,1543.5039,2822.7642,0.0589
Lsac,DecTree,sex,limi,5,66683.8,500000.0,0.133368,1.0,467.8,1877.6,5057.4,9340.8,8.3276,8.3852,8.3298,8.3379,8.3337,8.3491,8.343,8.3435,335.08,,,,,,,850.2504,3.9623,48.2006,66.553,115.1464,0.007
Lsac,DecTree,sex,sg,5,4164.2,6713.2,0.6203,1.0,108.4,562.2,846.4,1291.4,6.5514,6.5178,6.5517,6.5442,6.5287,6.5115,6.5158,6.5154,1200.08,1200.08,,,,,,61.9451,30.5172,115.8434,158.186,168.6544,0.3914
Lsac,DecTree,sex,regionft,5,54198054.8,69845605.8,0.775969,1.0,954.4,20369.8,160689.4,775461.8,9.4251,9.4265,9.4058,9.4192,9.4144,9.4176,9.4184,9.4202,1200.8,1200.78,77.4,77.39,1123.41,1123.4,615.6,3477566.4141,5.0299,300.648,6264.5296,25263.2204,0.0113
Lsac,DecTree,race,aft,5,1038241.6,1491695.6,0.696014,1.0,863.8,9802.6,43596.2,128786.2,8.8325,8.8355,8.8194,8.8351,8.8388,8.8397,8.8395,8.8388,1201.43,1201.36,,,,,,783025.6771,74.7476,1083.8105,11351.8455,48565.4473,0.2435
Lsac,DecTree,race,expga,5,1237961.8,1676640.4,0.738359,1.0,388.4,3545.6,17428.8,58921.6,8.1991,8.167,8.1783,8.1856,8.1893,8.1843,8.1858,8.1866,1200.07,1200.02,,,,,,9426.9686,89.6594,1348.3332,5509.5422,17816.1543,0.2007
Lsac,DecTree,race,grft,5,18685697.2,48218341.0,0.387523,1.0,673.8,4222.0,13403.6,35655.8,9.0618,8.9985,9.0201,9.019,9.0194,9.0067,9.0151,9.0151,1248.12,1247.87,,,,,,783787.8225,20.6809,217.8382,922.3764,2568.99,0.0055
Lsac,DecTree,race,limi,5,104312.0,500000.0,0.208624,1.0,491.6,2161.0,5257.2,11023.4,8.6683,8.6698,8.6327,8.6612,8.662,8.6599,8.654,8.6583,380.94,,,,,,,3566.8584,4.1593,39.5285,63.5311,217.7689,0.0373
Lsac,DecTree,race,sg,5,3909.4,6621.4,0.590419,1.0,153.8,526.2,818.4,1038.2,6.1005,6.1134,6.0977,6.0936,6.093,6.0921,6.0915,6.0904,1200.12,1200.11,,,,,,239.9694,21.8792,76.1164,112.0661,102.9548,0.4818
Lsac,DecTree,race,regionft,5,45208395.0,55779036.2,0.810491,1.0,975.8,12679.2,95454.6,438922.2,9.4534,9.4716,9.4643,9.4671,9.46,9.4633,9.4638,9.465,1204.24,1204.2,57.22,57.21,1147.02,1146.99,423.2,1812801.838,0.4472,45.1298,1005.6823,3947.5384,0.0074
