run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
sg-MLP-Adult-race-1200-3,Adult,MLP,race,sg,3,2781,7076,1,165,465,671,867,8.0823,8.1242,8.0882,8.1236,8.1323,8.1313,8.1334,8.1334,1200.08,1200.08,,,,,
sg-MLP-Adult-race-1200-4,Adult,MLP,race,sg,4,2810,6640,1,167,352,558,735,7.1959,7.1113,7.1489,7.1574,7.1394,7.1529,7.1454,7.1454,1200.11,1200.12,,,,,
regionft-MLP-Adult-race-1200-0,Adult,MLP,race,regionft,0,2679755,30167987,1,3060,180903,1325256,2305740,11.4727,11.4643,11.4671,11.4669,11.465,11.4669,11.4665,11.4659,1200.02,1200.02,132.34,132.33,1067.68,1067.68,1022
regionft-MLP-Adult-race-1200-1,Adult,MLP,race,regionft,1,2670815,29734344,1,3057,183543,1358413,2321467,11.4681,11.4715,11.4644,11.47,11.4689,11.4704,11.4701,11.4675,1200.01,1200.01,144.01,144.01,1056.0,1055.99,1012
regionft-MLP-Adult-race-1200-2,Adult,MLP,race,regionft,2,2673031,29993061,1,3067,182811,1330118,2289126,11.4593,11.4596,11.4652,11.4659,11.4667,11.4646,11.4659,11.4684,1200.01,1200.0,134.5,134.5,1065.51,1065.5,1022
regionft-MLP-Adult-race-1200-3,Adult,MLP,race,regionft,3,2811223,29795860,1,3062,181920,1379439,2409702,11.4495,11.4663,11.4698,11.4697,11.471,11.4687,11.4687,11.4701,1200.0,1200.0,128.32,128.32,1071.69,1071.69,893
regionft-MLP-Adult-race-1200-4,Adult,MLP,race,regionft,4,2692172,30158729,1,3068,183820,1340230,2311967,11.4766,11.4447,11.462,11.4636,11.4632,11.4636,11.4649,11.466,1200.01,1200.01,127.44,127.44,1072.57,1072.57,1002
aft-MLP-Adult-age-1200-0,Adult,MLP,age,aft,0,2322217,2398907,1,2121,65799,293316,637737,10.8666,10.812,10.806,10.8459,10.8414,10.8477,10.841,10.8491,1205.46,1205.37,,,,,
aft-MLP-Adult-age-1200-1,Adult,MLP,age,aft,1,1617899,1798017,1,2701,101771,553200,1115884,11.2998,11.2864,11.2694,11.2863,11.2854,11.2864,11.2899,11.29,1203.02,1202.95,,,,,
aft-MLP-Adult-age-1200-2,Adult,MLP,age,aft,2,1953255,2158597,1,2899,104864,536743,978550,11.0731,10.992,11.0203,11.0563,11.0445,11.0476,11.0496,11.0493,1202.26,1202.19,,,,,
