run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_d6-GBDT-Adult-sex-d5000000-3,Adult,GBDT,sex,regionft_d6,3,509248,5000000,1,3671,186324,437933,500053,11.1582,11.1946,11.1857,11.1855,11.194,11.1943,11.1859,11.1846,95.27,95.27,8.97,8.97,86.3,86.3,59
regionft_d6-GBDT-Adult-sex-d5000000-4,Adult,GBDT,sex,regionft_d6,4,487877,5000000,1,3672,188579,433107,481079,11.2291,11.1749,11.2283,11.2387,11.2226,11.2258,11.2237,11.2174,99.62,99.62,14.02,14.02,85.6,85.6,63
regionft_d8-GBDT-Adult-sex-d5000000-0,Adult,GBDT,sex,regionft_d8,0,617154,5000000,1,3706,196585,510260,602457,11.1896,11.2017,11.1596,11.1798,11.1878,11.169,11.1788,11.1721,111.92,111.89,30.18,30.15,81.73,81.73,232
regionft_d8-GBDT-Adult-sex-d5000000-1,Adult,GBDT,sex,regionft_d8,1,669460,5000000,1,3683,194388,539971,650537,11.0872,11.1067,11.1408,11.143,11.1211,11.1266,11.1278,11.1219,109.54,109.54,26.41,26.41,83.13,83.13,216
regionft_d8-GBDT-Adult-sex-d5000000-2,Adult,GBDT,sex,regionft_d8,2,609743,5000000,1,3717,191745,493316,593907,11.1453,11.1749,11.1461,11.1289,11.1335,11.1367,11.1453,11.1384,120.19,120.19,35.74,35.74,84.44,84.44,228
regionft_d8-GBDT-Adult-sex-d5000000-3,Adult,GBDT,sex,regionft_d8,3,596695,5000000,1,3732,191903,488557,581800,11.1326,11.1529,11.1419,11.1784,11.1672,11.1657,11.1637,11.1646,110.97,110.97,26.24,26.24,84.73,84.73,219
regionft_d8-GBDT-Adult-sex-d5000000-4,Adult,GBDT,sex,regionft_d8,4,596452,5000000,1,3728,195269,503458,583090,11.1471,11.225,11.2058,11.1826,11.1888,11.2015,11.1873,11.1901,126.19,126.19,39.17,39.17,87.02,87.02,244
regionft_d10-MLP-Adult-age-d5000000-0,Adult,MLP,age,regionft_d10,0,2538737,5000000,1,3072,179657,1351628,2324218,11.4896,11.4985,11.4939,11.5005,11.4991,11.5,11.5001,11.4998,529.35,529.33,194.79,194.78,334.56,334.55,993
regionft_d10-MLP-Adult-age-d5000000-1,Adult,MLP,age,regionft_d10,1,2521417,5000000,1,3078,179141,1350577,2310510,11.4968,11.5046,11.5008,11.5012,11.4997,11.5003,11.5008,11.5008,537.92,537.91,205.41,205.4,332.51,332.51,1023
regionft_d10-MLP-Adult-age-d5000000-2,Adult,MLP,age,regionft_d10,2,2546875,5000000,1,3078,180566,1355600,2328789,11.4989,11.498,11.4971,11.499,11.5001,11.4991,11.4997,11.4996,529.89,529.84,199.1,199.07,330.78,330.77,1014
regionft_d10-MLP-Adult-age-d5000000-3,Adult,MLP,age,regionft_d10,3,2553695,5000000,1,3076,180655,1352868,2337934,11.4965,11.5089,11.5019,11.5003,11.5003,11.5003,11.4997,11.5003,518.02,518.02,194.93,194.93,323.09,323.09,1021
regionft_d10-MLP-Adult-age-d5000000-4,Adult,MLP,age,regionft_d10,4,2481895,5000000,1,3074,180100,1338118,2272198,11.4999,11.502,11.4966,11.5013,11.5016,11.4998,11.4999,11.4996,525.62,525.6,195.4,195.38,330.22,330.22,1022
regionft_d12-MLP-Adult-age-d5000000-0,Adult,MLP,age,regionft_d12,0,2782377,5000000,1,3072,182092,1427736,2528968,11.4998,11.4986,11.5013,11.498,11.5003,11.4998,11.5003,11.5006,1030.48,1030.47,715.41,715.41,315.07,315.06,3959
regionft_d12-MLP-Adult-age-d5000000-1,Adult,MLP,age,regionft_d12,1,2761004,5000000,1,3095,181651,1427725,2513517,11.4682,11.5087,11.5019,11.5016,11.499,11.5003,11.5,11.5008,1108.24,1108.22,755.16,755.15,353.08,353.07,4064
regionft_d12-MLP-Adult-age-d5000000-2,Adult,MLP,age,regionft_d12,2,2795056,5000000,1,3094,183310,1434159,2536806,11.5125,11.4998,11.4995,11.5004,11.4997,11.5009,11.5001,11.5011,952.05,952.02,674.15,674.13,277.89,277.88,4038
regionft_d12-MLP-Adult-age-d5000000-3,Adult,MLP,age,regionft_d12,3,2793034,5000000,1,3083,182631,1430148,2540153,11.4939,11.5092,11.4999,11.4981,11.5018,11.5001,11.5012,11.5009,1113.18,1113.18,759.56,759.55,353.63,353.63,4063
regionft_d12-MLP-Adult-age-d5000000-4,Adult,MLP,age,regionft_d12,4,2726153,5000000,1,3088,182433,1414452,2479577,11.5043,11.5083,11.4964,11.5015,11.5001,11.4998,11.5002,11.5003,954.72,954.71,677.28,677.28,277.43,277.43,4072
regionft_d2-MLP-Adult-age-d5000000-0,Adult,MLP,age,regionft_d2,0,1491363,5000000,1,3077,159841,954346,1411854,11.4963,11.4914,11.4916,11.4976,11.4945,11.4948,11.4951,11.4953,318.27,318.26,1.54,1.54,316.74,316.73,4
regionft_d2-MLP-Adult-age-d5000000-1,Adult,MLP,age,regionft_d2,1,1508225,5000000,1,3085,161196,982217,1429192,11.4589,11.4998,11.4976,11.4967,11.4968,11.4965,11.4969,11.4968,339.56,339.55,2.84,2.84,336.72,336.72,4
regionft_d2-MLP-Adult-age-d5000000-2,Adult,MLP,age,regionft_d2,2,1486160,5000000,1,3074,174685,988574,1409224,11.4947,11.506,11.4944,11.4998,11.5001,11.4979,11.4979,11.4983,316.92,316.92,1.43,1.43,315.49,315.48,4
regionft_d2-MLP-Adult-age-d5000000-3,Adult,MLP,age,regionft_d2,3,1428688,5000000,1,3076,164743,922232,1358370,11.5099,11.5016,11.4968,11.4965,11.4986,11.497,11.4964,11.4975,326.75,326.75,2.83,2.83,323.92,323.91,4
regionft_d2-MLP-Adult-age-d5000000-4,Adult,MLP,age,regionft_d2,4,1482430,5000000,1,3080,164771,973207,1408713,11.4766,11.4968,11.4953,11.4975,11.4979,11.4969,11.4974,11.4973,318.57,318.57,1.41,1.41,317.16,317.15,4
regionft_d4-MLP-Adult-age-d5000000-0,Adult,MLP,age,regionft_d4,0,1778295,5000000,1,3072,174138,1082380,1667312,11.4891,11.4931,11.4999,11.4975,11.4983,11.4978,11.498,11.498,317.6,317.58,5.1,5.1,312.5,312.48,16
regionft_d4-MLP-Adult-age-d5000000-1,Adult,MLP,age,regionft_d4,1,1722452,5000000,1,3072,172158,1071684,1622149,11.4883,11.5056,11.5015,11.4982,11.4989,11.4984,11.4983,11.4989,340.55,340.54,6.27,6.27,334.28,334.27,16
regionft_d4-MLP-Adult-age-d5000000-2,Adult,MLP,age,regionft_d4,2,1728463,5000000,1,3074,169947,1060540,1621254,11.474,11.5067,11.5004,11.4989,11.4963,11.4968,11.4976,11.4973,320.68,320.64,4.61,4.61,316.07,316.03,16
regionft_d4-MLP-Adult-age-d5000000-3,Adult,MLP,age,regionft_d4,3,1717354,5000000,1,3078,168041,1042446,1612276,11.4878,11.5039,11.4992,11.4974,11.4975,11.4973,11.4981,11.4976,318.21,318.2,5.91,5.91,312.3,312.3,16
regionft_d4-MLP-Adult-age-d5000000-4,Adult,MLP,age,regionft_d4,4,1682788,5000000,1,3074,167002,1051998,1585131,11.4947,11.4981,11.5007,11.4978,11.4977,11.4983,11.4979,11.4977,317.09,317.07,5.02,5.02,312.07,312.05,16
regionft_d6-MLP-Adult-age-d5000000-0,Adult,MLP,age,regionft_d6,0,2014259,5000000,1,3072,174249,1168357,1872153,11.5084,11.5027,11.4998,11.5005,11.4997,11.499,11.4992,11.4989,337.94,337.93,15.67,15.67,322.27,322.26,63
regionft_d6-MLP-Adult-age-d5000000-1,Adult,MLP,age,regionft_d6,1,1974666,5000000,1,3072,173757,1163847,1840723,11.5122,11.5031,11.495,11.4972,11.4976,11.4989,11.5001,11.4995,340.48,340.47,21.29,21.29,319.18,319.18,64
