region_id,parent_id,depth,size,target_samples,actual_samples,violations,estimated_ratio,gini,best_attr,best_cut,best_gain,gini_weight_mode,max_split_ratio,sampler_weight,sampler_probability,sampling_risk_focus_alpha,sampling_risk_floor,partition_sample_mode,sampler_used_fallback,sampler_draws,sampler_violations,partition_tests_total,partition_violations_total,sampler_tests_total,sampler_violations_total,bounds,split_history,batch_size
1550,803,10,320808600000,1013,1013,1,0.0009871668311944718,0.0019723846656837223,,,0.0,sample,1.0,316691609.0819348,2.940973226235414e-06,1.0,1e-05,fresh_region,0,10,0,1694903,119260,3309056,449557,9:9;2:6;0:74;0:14;1:6;6:6;0:5;0:4;0:1;8:99;0:41;99:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 <= 14|x11 > 98|x10 <= 41|x1 > 1,512
1551,804,10,6110640000,1002,1002,182,0.18163672654690619,0.29728965223246123,,,0.0,sample,1.0,1109916646.7065868,1.0307299112786207e-05,1.0,1e-05,fresh_region,0,34,5,1694903,119260,3309056,449557,9:9;0:1;0:74;0:14;1:6;6:6;0:5;0:4;0:1;8:99;42:43;99:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 <= 14|x11 > 98|x10 > 41|x1 <= 1,512
1552,804,10,15276600000,1003,1003,4,0.003988035892323031,0.007944262924089148,,,0.0,sample,1.0,60923629.11266201,5.657704748946446e-07,1.0,1e-05,fresh_region,0,2,0,1694903,119260,3309056,449557,9:9;2:6;0:74;0:14;1:6;6:6;0:5;0:4;0:1;8:99;42:43;99:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 <= 14|x11 > 98|x10 > 41|x1 > 1,512
1553,805,10,221816232000,1011,1011,299,0.29574678536102866,0.41656124861929256,,,0.0,sample,1.0,65601437554.89614,0.0006092111881675664,1.0,1e-05,fresh_region,0,2091,609,1694903,119260,3309056,449557,9:9;0:2;0:24;15:15;1:6;6:6;0:5;0:4;0:1;8:99;0:21;1:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 > 14|x1 <= 2|x10 <= 21|x2 <= 24,512
1554,805,10,443632464000,1015,1015,91,0.0896551724137931,0.16323424494649227,,,0.0,sample,1.0,39773945048.27586,0.0003693628253297809,1.0,1e-05,fresh_region,0,1222,101,1694903,119260,3309056,449557,9:9;0:2;25:74;15:15;1:6;6:6;0:5;0:4;0:1;8:99;0:21;1:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 > 14|x1 <= 2|x10 <= 21|x2 > 24,512
1555,806,10,212943582720,1011,1011,8,0.00791295746785361,0.0157006851439311,,,0.0,sample,1.0,1685013513.115727,1.5647966304772273e-05,1.0,1e-05,fresh_region,0,45,0,1694903,119260,3309056,449557,9:9;0:2;0:23;15:15;1:6;6:6;0:5;0:4;0:1;8:99;22:43;1:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 > 14|x1 <= 2|x10 > 21|x2 <= 23,512
1556,806,10,452505113280,1016,1016,1,0.000984251968503937,0.0019665664331328663,,,0.0,sample,1.0,445379048.503937,4.136035877216429e-06,1.0,1e-05,fresh_region,0,18,0,1694903,119260,3309056,449557,9:9;0:2;24:74;15:15;1:6;6:6;0:5;0:4;0:1;8:99;22:43;1:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 > 14|x1 <= 2|x10 > 21|x2 > 23,512
1557,807,10,98584992000,1008,1008,65,0.06448412698412699,0.12065184870244396,,,0.0,sample,1.0,6357167142.857143,5.903616586509946e-05,1.0,1e-05,fresh_region,0,188,12,1694903,119260,3309056,449557,9:9;3:6;0:24;15:15;1:1;6:6;0:5;0:4;0:1;8:99;0:43;1:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 > 14|x1 > 2|x4 <= 1|x2 <= 24,512
1558,807,10,197169984000,1010,1010,1,0.0009900990099009901,0.001978237427703166,,,0.0,sample,1.0,195217805.94059405,1.8129003866571285e-06,1.0,1e-05,fresh_region,0,2,0,1694903,119260,3309056,449557,9:9;3:6;25:74;15:15;1:1;6:6;0:5;0:4;0:1;8:99;0:43;1:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 > 14|x1 > 2|x4 <= 1|x2 > 24,512
1559,808,10,1462701240000,1028,1028,2,0.0019455252918287938,0.0038834804463352968,,,0.0,sample,1.0,2845722256.8093386,2.642694888835276e-05,1.0,1e-05,fresh_region,0,92,1,1694903,119260,3309056,449557,9:9;3:6;0:74;15:15;2:6;6:6;0:5;0:4;0:1;8:98;0:43;1:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 > 14|x1 > 2|x4 > 1|x9 <= 98,512
